Open Price,Close Price,High Price,Low Price,BTC Volume,USD Volume,Number of Trades,Candle Open Time,Candle Close Time,Trading Pair
64338.47000000,64365.88000000,64376.48000000,64338.46000000,8.71156000,560663.97782070,728,2024-05-05 16:25:00,2024-05-05 16:25:59,BTCUSD
64365.87000000,64353.41000000,64365.88000000,64344.01000000,29.57606000,1903165.73719170,810,2024-05-05 16:26:00,2024-05-05 16:26:59,BTCUSD
64353.41000000,64301.18000000,64353.42000000,64286.00000000,27.52624000,1770487.67125060,1216,2024-05-05 16:27:00,2024-05-05 16:27:59,BTCUSD
64301.17000000,64272.92000000,64315.41000000,64261.40000000,10.65572000,685076.78400530,770,2024-05-05 16:28:00,2024-05-05 16:28:59,BTCUSD
64272.91000000,64262.00000000,64289.99000000,64260.35000000,20.74009000,1333113.36854930,681,2024-05-05 16:29:00,2024-05-05 16:29:59,BTCUSD
64261.99000000,64291.83000000,64330.44000000,64261.99000000,13.65675000,878213.08290700,825,2024-05-05 16:30:00,2024-05-05 16:30:59,BTCUSD
64291.83000000,64267.68000000,64291.84000000,64258.29000000,10.70439000,687986.04553000,653,2024-05-05 16:31:00,2024-05-05 16:31:59,BTCUSD
64267.69000000,64248.78000000,64270.00000000,64248.78000000,11.65624000,749002.45158130,715,2024-05-05 16:32:00,2024-05-05 16:32:59,BTCUSD
64248.78000000,64213.02000000,64250.00000000,64196.73000000,20.66534000,1327068.61922960,1437,2024-05-05 16:33:00,2024-05-05 16:33:59,BTCUSD
64213.02000000,64274.10000000,64284.00000000,64213.02000000,11.46670000,736844.60281840,791,2024-05-05 16:34:00,2024-05-05 16:34:59,BTCUSD
64274.10000000,64307.79000000,64317.06000000,64274.09000000,6.60974000,425009.20658230,483,2024-05-05 16:35:00,2024-05-05 16:35:59,BTCUSD
64307.78000000,64324.01000000,64329.16000000,64304.70000000,7.45604000,479539.70753820,698,2024-05-05 16:36:00,2024-05-05 16:36:59,BTCUSD
64324.01000000,64323.99000000,64324.01000000,64300.00000000,9.51507000,611845.64923370,628,2024-05-05 16:37:00,2024-05-05 16:37:59,BTCUSD
64324.00000000,64339.91000000,64340.86000000,64320.01000000,13.92830000,895982.57220800,525,2024-05-05 16:38:00,2024-05-05 16:38:59,BTCUSD
64339.90000000,64326.00000000,64348.13000000,64322.36000000,6.19861000,398802.21976560,589,2024-05-05 16:39:00,2024-05-05 16:39:59,BTCUSD
64326.00000000,64335.78000000,64336.00000000,64312.01000000,6.33500000,407516.23630010,626,2024-05-05 16:40:00,2024-05-05 16:40:59,BTCUSD
64335.77000000,64381.42000000,64381.43000000,64335.77000000,7.31212000,470621.65708680,519,2024-05-05 16:41:00,2024-05-05 16:41:59,BTCUSD
64381.43000000,64356.82000000,64382.10000000,64352.01000000,5.97349000,384493.60444510,535,2024-05-05 16:42:00,2024-05-05 16:42:59,BTCUSD
64356.82000000,64340.01000000,64356.83000000,64340.00000000,5.49221000,353409.83099570,467,2024-05-05 16:43:00,2024-05-05 16:43:59,BTCUSD
64340.00000000,64323.01000000,64340.01000000,64323.01000000,3.36384000,216419.88170960,525,2024-05-05 16:44:00,2024-05-05 16:44:59,BTCUSD
64323.02000000,64298.00000000,64323.02000000,64276.25000000,27.30427000,1755600.99242010,859,2024-05-05 16:45:00,2024-05-05 16:45:59,BTCUSD
64297.99000000,64294.00000000,64319.86000000,64294.00000000,7.70973000,495803.94950700,539,2024-05-05 16:46:00,2024-05-05 16:46:59,BTCUSD
64294.00000000,64328.99000000,64329.00000000,64289.07000000,9.56800000,615302.95625530,642,2024-05-05 16:47:00,2024-05-05 16:47:59,BTCUSD
64329.00000000,64342.99000000,64350.65000000,64328.99000000,5.45129000,350755.00606480,392,2024-05-05 16:48:00,2024-05-05 16:48:59,BTCUSD
64343.00000000,64332.57000000,64350.65000000,64332.47000000,4.15791000,267526.29628200,438,2024-05-05 16:49:00,2024-05-05 16:49:59,BTCUSD
64332.58000000,64322.52000000,64339.10000000,64313.41000000,4.43319000,285171.62574770,567,2024-05-05 16:50:00,2024-05-05 16:50:59,BTCUSD
64322.52000000,64324.01000000,64326.00000000,64312.94000000,3.89954000,250824.79221650,406,2024-05-05 16:51:00,2024-05-05 16:51:59,BTCUSD
64324.00000000,64290.01000000,64324.01000000,64289.15000000,3.19687000,205586.53947550,482,2024-05-05 16:52:00,2024-05-05 16:52:59,BTCUSD
64290.01000000,64298.00000000,64298.00000000,64260.35000000,18.46457000,1186772.19821290,816,2024-05-05 16:53:00,2024-05-05 16:53:59,BTCUSD
64298.00000000,64251.63000000,64298.00000000,64250.29000000,12.13325000,779704.27485580,686,2024-05-05 16:54:00,2024-05-05 16:54:59,BTCUSD
64251.63000000,64256.01000000,64262.00000000,64225.00000000,12.22981000,785672.26835860,867,2024-05-05 16:55:00,2024-05-05 16:55:59,BTCUSD
64256.02000000,64284.00000000,64284.00000000,64245.16000000,14.90297000,957707.40045760,729,2024-05-05 16:56:00,2024-05-05 16:56:59,BTCUSD
64284.00000000,64268.01000000,64290.46000000,64268.00000000,5.39644000,346903.94197830,442,2024-05-05 16:57:00,2024-05-05 16:57:59,BTCUSD
64268.00000000,64298.00000000,64306.00000000,64268.00000000,6.99078000,449439.59861490,657,2024-05-05 16:58:00,2024-05-05 16:58:59,BTCUSD
64298.01000000,64321.99000000,64322.58000000,64290.00000000,15.99534000,1028647.89851710,706,2024-05-05 16:59:00,2024-05-05 16:59:59,BTCUSD
64322.00000000,64309.54000000,64330.52000000,64309.54000000,8.47776000,545285.92235250,606,2024-05-05 17:00:00,2024-05-05 17:00:59,BTCUSD
64309.55000000,64320.01000000,64323.99000000,64306.00000000,3.87676000,249343.85415790,528,2024-05-05 17:01:00,2024-05-05 17:01:59,BTCUSD
64320.01000000,64314.00000000,64323.62000000,64301.34000000,5.24215000,337129.08868410,619,2024-05-05 17:02:00,2024-05-05 17:02:59,BTCUSD
64313.99000000,64272.22000000,64314.00000000,64268.76000000,9.75693000,627179.33289620,843,2024-05-05 17:03:00,2024-05-05 17:03:59,BTCUSD
64272.23000000,64253.73000000,64272.23000000,64253.73000000,3.31620000,213107.97077050,397,2024-05-05 17:04:00,2024-05-05 17:04:59,BTCUSD
64253.74000000,64234.68000000,64262.00000000,64232.60000000,6.35660000,408417.18246680,508,2024-05-05 17:05:00,2024-05-05 17:05:59,BTCUSD
64234.68000000,64249.42000000,64249.42000000,64190.00000000,19.67826000,1263611.17162440,911,2024-05-05 17:06:00,2024-05-05 17:06:59,BTCUSD
64249.41000000,64270.99000000,64280.00000000,64249.41000000,7.29965000,469127.91130550,459,2024-05-05 17:07:00,2024-05-05 17:07:59,BTCUSD
64270.99000000,64272.01000000,64276.00000000,64258.00000000,6.15095000,395295.50157910,446,2024-05-05 17:08:00,2024-05-05 17:08:59,BTCUSD
64272.01000000,64289.40000000,64308.00000000,64272.00000000,6.31752000,406196.43916670,667,2024-05-05 17:09:00,2024-05-05 17:09:59,BTCUSD
64289.40000000,64264.00000000,64291.12000000,64263.99000000,4.38078000,281576.36472710,518,2024-05-05 17:10:00,2024-05-05 17:10:59,BTCUSD
64263.99000000,64268.66000000,64282.00000000,64263.99000000,3.66657000,235667.17145740,501,2024-05-05 17:11:00,2024-05-05 17:11:59,BTCUSD
64268.65000000,64255.14000000,64268.66000000,64250.00000000,2.78656000,179063.24561840,389,2024-05-05 17:12:00,2024-05-05 17:12:59,BTCUSD
64255.14000000,64259.24000000,64259.24000000,64255.13000000,1.71509000,110206.00907630,278,2024-05-05 17:13:00,2024-05-05 17:13:59,BTCUSD
64259.23000000,64250.02000000,64262.00000000,64240.12000000,17.86514000,1147863.18522090,517,2024-05-05 17:14:00,2024-05-05 17:14:59,BTCUSD
64250.01000000,64273.99000000,64276.00000000,64250.01000000,4.94066000,317516.40986510,549,2024-05-05 17:15:00,2024-05-05 17:15:59,BTCUSD
64274.00000000,64293.70000000,64293.70000000,64273.99000000,6.35884000,408779.56935930,684,2024-05-05 17:16:00,2024-05-05 17:16:59,BTCUSD
64293.69000000,64285.99000000,64293.70000000,64278.66000000,11.58388000,744714.22425630,493,2024-05-05 17:17:00,2024-05-05 17:17:59,BTCUSD
64286.00000000,64285.99000000,64286.00000000,64261.02000000,4.91309000,315794.87547960,582,2024-05-05 17:18:00,2024-05-05 17:18:59,BTCUSD
64285.98000000,64287.99000000,64288.00000000,64284.55000000,3.02739000,194617.31808230,354,2024-05-05 17:19:00,2024-05-05 17:19:59,BTCUSD
64288.00000000,64435.12000000,64435.13000000,64287.99000000,34.99903000,2252724.42162700,1543,2024-05-05 17:20:00,2024-05-05 17:20:59,BTCUSD
64435.13000000,64387.00000000,64435.13000000,64380.00000000,8.07054000,519662.49316590,545,2024-05-05 17:21:00,2024-05-05 17:21:59,BTCUSD
64387.00000000,64434.19000000,64450.00000000,64386.18000000,9.60328000,618660.69460320,676,2024-05-05 17:22:00,2024-05-05 17:22:59,BTCUSD
64434.18000000,64460.11000000,64476.00000000,64430.00000000,12.90554000,831760.34663130,703,2024-05-05 17:23:00,2024-05-05 17:23:59,BTCUSD
64460.10000000,64439.99000000,64460.11000000,64439.99000000,10.05975000,648360.01232870,514,2024-05-05 17:24:00,2024-05-05 17:24:59,BTCUSD
64440.00000000,64414.43000000,64444.90000000,64414.42000000,10.50120000,676581.40358100,695,2024-05-05 17:25:00,2024-05-05 17:25:59,BTCUSD
64414.43000000,64408.03000000,64423.70000000,64404.74000000,8.42914000,542957.14964970,490,2024-05-05 17:26:00,2024-05-05 17:26:59,BTCUSD
64408.04000000,64380.43000000,64417.69000000,64371.48000000,21.38551000,1376989.54054670,685,2024-05-05 17:27:00,2024-05-05 17:27:59,BTCUSD
64380.43000000,64367.69000000,64388.00000000,64363.28000000,7.76427000,499777.68883850,510,2024-05-05 17:28:00,2024-05-05 17:28:59,BTCUSD
64367.69000000,64368.01000000,64376.00000000,64367.69000000,4.65019000,299338.10836640,276,2024-05-05 17:29:00,2024-05-05 17:29:59,BTCUSD
64368.00000000,64427.04000000,64427.04000000,64363.15000000,11.19196000,720668.76318100,852,2024-05-05 17:30:00,2024-05-05 17:30:59,BTCUSD
64427.03000000,64436.28000000,64442.02000000,64416.00000000,12.70923000,818841.81852780,502,2024-05-05 17:31:00,2024-05-05 17:31:59,BTCUSD
64436.27000000,64418.00000000,64436.28000000,64416.38000000,4.41577000,284488.95966880,353,2024-05-05 17:32:00,2024-05-05 17:32:59,BTCUSD
64418.00000000,64333.96000000,64420.00000000,64333.96000000,25.22827000,1623891.08866070,979,2024-05-05 17:33:00,2024-05-05 17:33:59,BTCUSD
64333.97000000,64353.26000000,64353.27000000,64300.00000000,27.03362000,1738694.55037090,961,2024-05-05 17:34:00,2024-05-05 17:34:59,BTCUSD
64353.26000000,64352.88000000,64353.27000000,64338.63000000,2.93413000,188808.44637380,404,2024-05-05 17:35:00,2024-05-05 17:35:59,BTCUSD
64352.87000000,64376.84000000,64384.65000000,64349.87000000,12.03444000,774573.52564450,575,2024-05-05 17:36:00,2024-05-05 17:36:59,BTCUSD
64376.85000000,64343.17000000,64381.58000000,64343.16000000,6.32031000,406810.61396940,604,2024-05-05 17:37:00,2024-05-05 17:37:59,BTCUSD
64343.17000000,64300.00000000,64343.17000000,64297.98000000,35.86053000,2306310.55843450,838,2024-05-05 17:38:00,2024-05-05 17:38:59,BTCUSD
64300.00000000,64280.00000000,64300.00000000,64268.42000000,8.17776000,525708.79381950,650,2024-05-05 17:39:00,2024-05-05 17:39:59,BTCUSD
64280.00000000,64265.23000000,64280.00000000,64260.00000000,7.30064000,469198.59076720,512,2024-05-05 17:40:00,2024-05-05 17:40:59,BTCUSD
64265.23000000,64262.01000000,64289.08000000,64262.00000000,6.08949000,391409.95168380,560,2024-05-05 17:41:00,2024-05-05 17:41:59,BTCUSD
